Team,Manager
Fuck Tom Wilson!,Mark
Good Cop Babcock,Jordan
Monahan Jobs,Derek
I'M BETTMEN!!!,Patrick
No Regretzkys,Adam
The Bearded One,Jeremy
Fuck Yeah Tom Wilson,Andrew
Hail Satan,Ray
Sugar Kane,Dan
Mitchell's Drangles,Mitch
Good ontariyah boys,Evan
Collin's Cool Team,Collin
JC's Disciples,Andrew
Big Dirty,Kal
Mitchell's Mooners,Mitch
The Glatt Pack,Evan
Dump in the Corner,Jordan
The Bill Crosby's,Noel
Go Home I'm drinkin,Jeremy
It Burns when I pee,Derek
The Hans Grubauers,Andrew
HatTrick Swayzes,Mark
Dumpster Fire,Jordan
Commissioner Coulas,Patrick
Big Thick Blocks,Derek
Speak Up I'm Wasted,Jeremy
Dont Drink and Draft,Kal
The Dirty Beavers,Jeremy
The Tkachukle Fuckers,Andrew
Tkachuk'n rites boys,Derek
BunchaPigeons,Jordan
