Name,GP,G,A,plus_minus,PIM,PPP,GWG,HIT,BLK,year,team_name
Timo Meier,71,28,30,13,49,8,2,80,37,2018,Fuck_Tom_Wilson!
Joe Pavelski,70,37,26,-1,20,20,6,65,58,2018,Fuck_Tom_Wilson!
Charlie McAvoy,7,1,5,1,10,0,0,9,14,2018,Fuck_Tom_Wilson!
Sidney Crosby,72,32,58,18,36,26,3,78,40,2018,Fuck_Tom_Wilson!
Boone Jenner,10,2,0,-1,6,1,0,19,8,2018,Fuck_Tom_Wilson!
Chris Kreider,66,22,23,10,51,11,2,130,41,2018,Fuck_Tom_Wilson!
Kevin Fiala,4,0,0,-2,2,0,0,0,2,2018,Fuck_Tom_Wilson!
Andrei Svechnikov,11,2,2,-1,12,0,2,11,0,2018,Fuck_Tom_Wilson!
Vincent Trocheck,16,3,10,-2,22,7,0,32,9,2018,Fuck_Tom_Wilson!
Ty Rattie,3,0,1,2,0,0,0,4,1,2018,Fuck_Tom_Wilson!
Victor Hedman,67,10,41,23,40,24,4,56,95,2018,Fuck_Tom_Wilson!
Adam Larsson,39,1,11,-1,22,0,0,120,64,2018,Fuck_Tom_Wilson!
Darnell Nurse,1,0,0,-3,2,0,0,2,1,2018,Fuck_Tom_Wilson!
Ryan Pulock,3,0,0,-1,0,0,0,2,5,2018,Fuck_Tom_Wilson!
Henri Jokiharju,4,0,0,-2,0,0,0,7,3,2018,Fuck_Tom_Wilson!
Tyson Barrie,66,10,38,-3,30,22,2,45,79,2018,Fuck_Tom_Wilson!
Kasperi Kapanen,10,2,2,4,6,0,1,16,2,2018,Fuck_Tom_Wilson!
Alex Galchenyuk,11,3,6,-1,4,5,0,7,5,2018,Fuck_Tom_Wilson!
Keith Yandle,66,8,42,-16,42,36,2,34,60,2018,Fuck_Tom_Wilson!
Mika Zibanejad,57,21,31,-7,37,15,4,93,41,2018,Fuck_Tom_Wilson!
Torey Krug,15,0,11,-7,21,8,0,13,18,2018,Fuck_Tom_Wilson!
Ben Chiarot,3,0,0,2,2,0,0,5,2,2018,Fuck_Tom_Wilson!
Josh Anderson,12,6,1,4,6,2,0,25,3,2018,Fuck_Tom_Wilson!
Marcus Foligno,3,0,0,-1,2,0,0,11,1,2018,Fuck_Tom_Wilson!
Alex Tuch,45,10,16,1,8,1,4,50,21,2018,Fuck_Tom_Wilson!
Shea Weber,50,11,17,14,24,5,3,113,96,2018,Fuck_Tom_Wilson!
William Carrier,15,1,0,-2,2,0,0,77,4,2018,Fuck_Tom_Wilson!
David Krejci,6,3,1,-6,0,0,0,1,3,2018,Fuck_Tom_Wilson!
Tomas Tatar,12,2,6,3,4,1,1,9,1,2018,Fuck_Tom_Wilson!
Mark Borowiecki,8,0,0,0,9,0,0,35,18,2018,Fuck_Tom_Wilson!
Jakub Voracek,25,9,16,8,13,6,1,3,11,2018,Fuck_Tom_Wilson!
Michal Kempny,5,0,3,-4,2,0,0,8,12,2018,Fuck_Tom_Wilson!
Colin Miller,2,0,0,-2,2,0,0,7,2,2018,Fuck_Tom_Wilson!
Rickard Rakell,8,0,1,-7,4,1,0,14,6,2018,Fuck_Tom_Wilson!
Nazem Kadri,5,2,1,-2,0,2,1,3,0,2018,Fuck_Tom_Wilson!
Sam Bennett,11,1,2,-4,10,0,0,17,4,2018,Fuck_Tom_Wilson!
Niklas Hjalmarsson,1,0,1,2,0,0,0,2,4,2018,Fuck_Tom_Wilson!
Mikael Backlund,4,1,1,-2,0,0,1,4,0,2018,Fuck_Tom_Wilson!
Jonathan Drouin,2,0,0,-1,0,0,0,2,0,2018,Fuck_Tom_Wilson!
Ryan Getzlaf,9,2,6,2,8,2,0,24,8,2018,Fuck_Tom_Wilson!
Micheal Ferland,1,0,0,0,0,0,0,0,0,2018,Fuck_Tom_Wilson!
Jack Johnson,3,0,0,2,0,0,0,8,7,2018,Fuck_Tom_Wilson!
Evgenii Dadonov,1,0,0,-1,0,0,0,1,0,2018,Fuck_Tom_Wilson!
Anders Lee,4,0,0,1,0,0,0,6,2,2018,Fuck_Tom_Wilson!
Chris Wagner,2,0,0,2,0,0,0,2,0,2018,Fuck_Tom_Wilson!
Lawson Crouse,1,0,0,-1,0,0,0,4,2,2018,Fuck_Tom_Wilson!
Total,907,230,409,31,508,203,39,1254,790,2018,Fuck_Tom_Wilson!
Nicklas Backstrom,72,18,50,8,26,25,4,50,24,2018,Fuck_Yeah_Tom_Wilson
Ryan Getzlaf,40,7,22,-9,27,5,2,82,41,2018,Fuck_Yeah_Tom_Wilson
Brad Marchand,74,32,60,18,92,30,8,45,18,2018,Fuck_Yeah_Tom_Wilson
Rickard Rakell,5,1,2,-3,0,2,0,11,7,2018,Fuck_Yeah_Tom_Wilson
David Pastrnak,59,33,37,7,24,29,3,48,24,2018,Fuck_Yeah_Tom_Wilson
Brendan Gallagher,33,11,5,1,20,4,3,47,13,2018,Fuck_Yeah_Tom_Wilson
Jake Guentzel,6,4,0,-2,0,1,0,7,4,2018,Fuck_Yeah_Tom_Wilson
Mark Stone,5,1,1,-2,2,0,0,4,1,2018,Fuck_Yeah_Tom_Wilson
John Klingberg,56,10,31,9,10,18,5,34,69,2018,Fuck_Yeah_Tom_Wilson
Zach Werenski,29,5,11,-9,8,7,0,20,30,2018,Fuck_Yeah_Tom_Wilson
Tyson Barrie,3,0,0,1,2,0,0,0,2,2018,Fuck_Yeah_Tom_Wilson
Max Domi,72,25,39,17,76,10,2,46,33,2018,Fuck_Yeah_Tom_Wilson
Evgenii Dadonov,14,5,8,-2,0,5,0,3,14,2018,Fuck_Yeah_Tom_Wilson
Zdeno Chara,4,0,1,1,0,0,0,4,6,2018,Fuck_Yeah_Tom_Wilson
Alexander Edler,31,5,11,-1,28,7,2,84,91,2018,Fuck_Yeah_Tom_Wilson
Robert Hagg,3,0,2,2,2,0,0,11,3,2018,Fuck_Yeah_Tom_Wilson
Anders Lee,18,4,4,-1,14,4,0,26,13,2018,Fuck_Yeah_Tom_Wilson
Jack Eichel,54,20,36,-5,18,16,2,46,38,2018,Fuck_Yeah_Tom_Wilson
Brady Skjei,1,0,0,-2,0,0,0,2,2,2018,Fuck_Yeah_Tom_Wilson
Seth Jones,68,9,33,-5,26,9,4,100,122,2018,Fuck_Yeah_Tom_Wilson
Thomas Chabot,52,10,28,-8,26,11,1,54,91,2018,Fuck_Yeah_Tom_Wilson
Jason Pominville,1,1,0,1,0,0,0,1,0,2018,Fuck_Yeah_Tom_Wilson
Erik Gudbranson,3,1,0,0,10,0,0,5,5,2018,Fuck_Yeah_Tom_Wilson
Tom Wilson,57,22,16,14,119,5,2,177,50,2018,Fuck_Yeah_Tom_Wilson
Neal Pionk,12,1,5,5,0,4,0,24,12,2018,Fuck_Yeah_Tom_Wilson
Max Pacioretty,5,2,3,3,0,1,0,4,1,2018,Fuck_Yeah_Tom_Wilson
Michal Kempny,27,2,10,12,26,0,1,32,37,2018,Fuck_Yeah_Tom_Wilson
Torey Krug,40,4,27,3,10,19,1,32,30,2018,Fuck_Yeah_Tom_Wilson
Matt Niskanen,2,0,0,-2,2,0,0,2,1,2018,Fuck_Yeah_Tom_Wilson
Brandon Tanev,2,1,0,2,0,0,0,9,0,2018,Fuck_Yeah_Tom_Wilson
Sam Reinhart,2,0,2,-2,0,0,0,0,0,2018,Fuck_Yeah_Tom_Wilson
Zach Aston-Reese,2,0,0,0,0,0,0,3,2,2018,Fuck_Yeah_Tom_Wilson
Brady Tkachuk,1,0,0,-1,2,0,0,0,0,2018,Fuck_Yeah_Tom_Wilson
Nate Schmidt,1,0,0,0,0,0,0,0,2,2018,Fuck_Yeah_Tom_Wilson
Sam Bennett,1,0,0,-2,0,0,0,1,0,2018,Fuck_Yeah_Tom_Wilson
Brandon Pirri,2,1,1,1,0,1,0,2,0,2018,Fuck_Yeah_Tom_Wilson
Kevin Fiala,3,0,2,0,0,0,0,2,0,2018,Fuck_Yeah_Tom_Wilson
Nick Foligno,21,5,3,-4,27,2,0,54,15,2018,Fuck_Yeah_Tom_Wilson
T.J. Brodie,1,0,0,-2,0,0,0,0,0,2018,Fuck_Yeah_Tom_Wilson
Blake Coleman,1,0,0,0,2,0,0,3,2,2018,Fuck_Yeah_Tom_Wilson
Josh Anderson,2,0,0,-1,2,0,0,6,1,2018,Fuck_Yeah_Tom_Wilson
Nino Niederreiter,4,3,0,4,2,1,1,2,1,2018,Fuck_Yeah_Tom_Wilson
Mats Zuccarello,9,3,7,3,2,2,0,15,7,2018,Fuck_Yeah_Tom_Wilson
Jake Gardiner,1,0,0,-1,4,0,0,0,0,2018,Fuck_Yeah_Tom_Wilson
Micheal Ferland,11,2,3,3,7,2,0,14,4,2018,Fuck_Yeah_Tom_Wilson
Noel Acciari,1,0,0,0,0,0,0,3,1,2018,Fuck_Yeah_Tom_Wilson
Dylan Strome,18,3,11,0,4,3,0,2,14,2018,Fuck_Yeah_Tom_Wilson
Danton Heinen,4,0,2,2,2,1,0,2,3,2018,Fuck_Yeah_Tom_Wilson
Justin Williams,9,4,1,1,4,1,1,5,5,2018,Fuck_Yeah_Tom_Wilson
David Krejci,5,0,3,-2,0,0,0,4,0,2018,Fuck_Yeah_Tom_Wilson
Kyle Palmieri,1,0,1,0,0,0,0,0,0,2018,Fuck_Yeah_Tom_Wilson
Jakob Silfverberg,6,3,3,2,2,2,2,2,4,2018,Fuck_Yeah_Tom_Wilson
Brandon Montour,2,0,2,1,2,0,0,4,2,2018,Fuck_Yeah_Tom_Wilson
Shayne Gostisbehere,1,0,0,-1,4,0,0,1,3,2018,Fuck_Yeah_Tom_Wilson
Kris Letang,2,0,2,2,2,1,0,1,5,2018,Fuck_Yeah_Tom_Wilson
Erik Gustafsson,3,2,0,-1,2,0,0,11,5,2018,Fuck_Yeah_Tom_Wilson
Total,962,260,485,55,638,228,44,1147,858,2018,Fuck_Yeah_Tom_Wilson
