Final Rank,Team,W-L-T,Pct,Div,Pts,Waiver,Moves,year,division,pre playoff rank,,,,,,,
2, Fuck Tom Wilson!,114-105-21,0.519,59-54-7,249,5,46,2018,No Guts No Glory Division,5,,,,,,,
3, Good Cop Babcock,125-84-31,0.585,61-41-18,281,10,45,2018,No Guts No Glory Division,1,,,,,,,
6, Monahan Jobs,108-103-29,0.51,52-48-20,245,11,16,2018,No Guts No Glory Division,6,,,,,,,
7, I'M BETTMEN!!!,88-112-40,0.45,36-65-19,216,7,26,2018,No Guts No Glory Division,10,,,,,,,
10, No Regretzkys,106-108-26,0.496,54-52-14,238,12,11,2018,No Guts No Glory Division,7,,,,,,,
11, The Bearded One,98-111-31,0.473,52-54-14,227,1,12,2018,No Guts No Glory Division,9,,,,,,,
1, Fuck Yeah Tom Wilson,113-99-28,0.529,64-40-16,254,4,53,2018,Go Big or Go Home Division,3,,,,,,,
4, Hail Satan,128-89-23,0.581,63-45-12,279,8,3,2018,Go Big or Go Home Division,2,,,,,,,
5, Sugar Kane,108-96-36,0.525,48-52-20,252,6,68,2018,Go Big or Go Home Division,4,,,,,,,
8, Mitchell's Drangles,82-129-29,0.402,43-64-13,193,3,14,2018,Go Big or Go Home Division,12,,,,,,,
9, Good ontariyah boys,100-106-34,0.488,51-52-17,234,2,4,2018,Go Big or Go Home Division,8,,,,,,,
12, Collin's Cool Team,92-120-28,0.442,45-61-14,212,9,6,2018,Go Big or Go Home Division,11,,,,,,,
2, Fuck Tom Wilson!,114-105-21,0.519,59-54-7,249,5,46,2019,No Guts No Glory Division,2,,,,,,,
3, Good Cop Babcock,125-84-31,0.585,61-41-18,281,10,45,2019,No Guts No Glory Division,3,,,,,,,
6, Monahan Jobs,108-103-29,0.51,52-48-20,245,11,16,2019,No Guts No Glory Division,6,,,,,,,
7, I'M BETTMEN!!!,88-112-40,0.45,36-65-19,216,7,26,2019,No Guts No Glory Division,7,,,,,,,
10, No Regretzkys,106-108-26,0.496,54-52-14,238,12,11,2019,No Guts No Glory Division,10,,,,,,,
11, The Bearded One,98-111-31,0.473,52-54-14,227,1,12,2019,No Guts No Glory Division,11,,,,,,,
1, Fuck Yeah Tom Wilson,113-99-28,0.529,64-40-16,254,4,53,2019,Go Big or Go Home Division,1,,,,,,,
4, Hail Satan,128-89-23,0.581,63-45-12,279,8,3,2019,Go Big or Go Home Division,4,,,,,,,
5, Sugar Kane,108-96-36,0.525,48-52-20,252,6,68,2019,Go Big or Go Home Division,5,,,,,,,
8, Mitchell's Drangles,82-129-29,0.402,43-64-13,193,3,14,2019,Go Big or Go Home Division,8,,,,,,,
9, Good ontariyah boys,100-106-34,0.488,51-52-17,234,2,4,2019,Go Big or Go Home Division,9,,,,,,,
12, Collin's Cool Team,92-120-28,0.442,45-61-14,212,9,6,2019,Go Big or Go Home Division,12,,,,,,,
3, The Hans Grubauers,85-55-16,0.596,34-30-8,186,11,40,2020,No Guts No Glory Division,1,,,,,,,
5, HatTrick Swayzes,86-58-12,0.59,46-18-8,184,10,38,2020,No Guts No Glory Division,3,,,,,,,
6, Hail Satan,79-63-14,0.551,38-38-8,172,2,5,2020,No Guts No Glory Division,4,,,,,,,
7, Dumpster Fire,72-71-13,0.503,37-42-5,157,8,49,2020,No Guts No Glory Division,7,,,,,,,
8, Commissioner Coulas,57-84-15,0.413,25-50-9,129,1,23,2020,No Guts No Glory Division,12,,,,,,,
11, No Regretzkys,62-77-17,0.452,36-38-10,141,6,14,2020,No Guts No Glory Division,9,,,,,,,
1, Sugar Kane,75-68-13,0.522,38-36-10,163,7,59,2020,Go Big or Go Home Division,5,,,,,,,
2, Mitchell's Mooners,76-65-15,0.535,52-23-9,167,12,22,2020,Go Big or Go Home Division,2,,,,,,,
4, Big Thick Blocks,73-71-12,0.506,31-37-4,158,5,21,2020,Go Big or Go Home Division,6,,,,,,,
9, Speak Up I'm Wasted,65-74-17,0.471,39-36-9,147,3,8,2020,Go Big or Go Home Division,8,,,,,,,
10, The Glatt Pack,59-80-17,0.433,28-43-13,135,4,5,2020,Go Big or Go Home Division,10,,,,,,,
12, Dont Drink and Draft,57-80-19,0.426,25-38-9,133,9,33,2020,Go Big or Go Home Division,11,,,,,,,
3, Mitchell's Mooners,149-105-22,0.58,80-40-12,320,1,19,2021,No Guts No Glory Division,2,,,,,,,
7, Hail Satan,108-145-23,0.433,54-66-12,239,5,9,2021,No Guts No Glory Division,10,,,,,,,
9, The Dirty Beavers,123-126-27,0.495,65-56-11,273,4,3,2021,No Guts No Glory Division,7,,,,,,,
10, Dont Drink and Draft,123-130-23,0.487,66-59-7,269,6,23,2021,No Guts No Glory Division,8,,,,,,,
11, Commissioner Coulas,104-141-31,0.433,52-66-14,239,2,28,2021,No Guts No Glory Division,11,,,,,,,
12, The Glatt Pack,90-160-26,0.373,46-76-10,206,7,5,2021,No Guts No Glory Division,12,,,,,,,
1, Sugar Kane,154-99-23,0.6,63-56-13,331,8,76,2021,Go Big or Go Home Division,1,,,,,,,
2, The Tkachukle Fuckers,144-101-31,0.578,66-50-16,319,9,68,2021,Go Big or Go Home Division,3,,,,,,,
4, No Regretzkys,126-116-34,0.518,51-63-18,286,10,22,2021,Go Big or Go Home Division,5,,,,,,,
5, Tkachuk'n rites boys,130-112-34,0.533,62-53-17,294,3,20,2021,Go Big or Go Home Division,4,,,,,,,
6, HatTrick Swayzes,127-123-26,0.507,58-62-12,280,12,46,2021,Go Big or Go Home Division,6,,,,,,,
