Rank,Team,W-L-T,Pct,Div,Pts,Last Week,Waiver,Moves
No Guts No Glory Division,,,,,,,,
*2,logo Fuck Tom Wilson!?,114-105-21,0.519,59-54-7,249,-,5,46
*3,logo Good Cop Babcock?,125-84-31,0.585,61-41-18,281,-,10,45
*6,logo Monahan Jobs,108-103-29,0.51,52-48-20,245,-,11,16
7,logo I'M BETTMEN!!!,88-112-40,0.45,36-65-19,216,-,7,26
10,logo No Regretzkys,106-108-26,0.496,54-52-14,238,-,12,11
11,logo The Bearded One,98-111-31,0.473,52-54-14,227,-,1,12
Go Big or Go Home Division,,,,,,,,
*1,logo Fuck Yeah Tom Wilson?,113-99-28,0.529,64-40-16,254,-,4,53
*4,logo Hail Satan,128-89-23,0.581,63-45-12,279,-,8,3
*5,logo Sugar Kane,108-96-36,0.525,48-52-20,252,-,6,68
8,logo Mitchell's Drangles,82-129-29,0.402,43-64-13,193,-,3,14
9,logo Good ontariyah boys,100-106-34,0.488,51-52-17,234,-,2,4
12,logo Collin's Cool Team,92-120-28,0.442,45-61-14,212,-,9,6
